language,strategy,model_or_tokenizer,metric_type,num_tokens,fertility,generation_time
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,1.0369293689727783
en,Baseline_Lower,xlm-roberta-base,static,124.0,2.7555555555555555,
en,Baseline_Lower,google/mt5-base,static,122.0,2.7111111111111112,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.821946382522583
en,BaselinePreprocessor,xlm-roberta-base,static,59.0,1.4390243902439024,
en,BaselinePreprocessor,google/mt5-base,static,61.0,1.4878048780487805,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.728278636932373
en,RegexPreprocessor,xlm-roberta-base,static,61.0,1.297872340425532,
en,RegexPreprocessor,google/mt5-base,static,68.0,1.446808510638298,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7411575317382812
en,Baseline_Lower,xlm-roberta-base,static,59.0,1.4390243902439024,
en,Baseline_Lower,google/mt5-base,static,62.0,1.5121951219512195,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7536320686340332
en,BaselinePreprocessor,xlm-roberta-base,static,71.0,1.4489795918367347,
en,BaselinePreprocessor,google/mt5-base,static,80.0,1.6326530612244898,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.15061664581298828
en,RegexPreprocessor,xlm-roberta-base,static,77.0,1.4528301886792452,
en,RegexPreprocessor,google/mt5-base,static,84.0,1.5849056603773586,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.724353551864624
en,Baseline_Lower,xlm-roberta-base,static,74.0,1.510204081632653,
en,Baseline_Lower,google/mt5-base,static,80.0,1.6326530612244898,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7119169235229492
en,BaselinePreprocessor,xlm-roberta-base,static,54.0,1.6875,
en,BaselinePreprocessor,google/mt5-base,static,57.0,1.78125,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7396252155303955
en,RegexPreprocessor,xlm-roberta-base,static,58.0,1.6571428571428573,
en,RegexPreprocessor,google/mt5-base,static,66.0,1.8857142857142857,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7210309505462646
en,Baseline_Lower,xlm-roberta-base,static,55.0,1.71875,
en,Baseline_Lower,google/mt5-base,static,63.0,1.96875,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7147607803344727
en,BaselinePreprocessor,xlm-roberta-base,static,53.0,1.606060606060606,
en,BaselinePreprocessor,google/mt5-base,static,54.0,1.6363636363636365,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7174737453460693
en,RegexPreprocessor,xlm-roberta-base,static,52.0,1.5294117647058822,
en,RegexPreprocessor,google/mt5-base,static,56.0,1.6470588235294117,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7263681888580322
en,Baseline_Lower,xlm-roberta-base,static,51.0,1.5454545454545454,
en,Baseline_Lower,google/mt5-base,static,55.0,1.6666666666666667,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7647950649261475
en,BaselinePreprocessor,xlm-roberta-base,static,42.0,1.6153846153846154,
en,BaselinePreprocessor,google/mt5-base,static,40.0,1.5384615384615385,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7206118106842041
en,RegexPreprocessor,xlm-roberta-base,static,49.0,1.5806451612903225,
en,RegexPreprocessor,google/mt5-base,static,50.0,1.6129032258064515,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.8191299438476562
en,Baseline_Lower,xlm-roberta-base,static,44.0,1.6923076923076923,
en,Baseline_Lower,google/mt5-base,static,44.0,1.6923076923076923,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.8688139915466309
en,BaselinePreprocessor,xlm-roberta-base,static,56.0,1.5135135135135136,
en,BaselinePreprocessor,google/mt5-base,static,59.0,1.5945945945945945,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.98166823387146
en,RegexPreprocessor,xlm-roberta-base,static,70.0,1.4893617021276595,
en,RegexPreprocessor,google/mt5-base,static,76.0,1.6170212765957446,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7068195343017578
en,Baseline_Lower,xlm-roberta-base,static,60.0,1.6216216216216217,
en,Baseline_Lower,google/mt5-base,static,64.0,1.7297297297297298,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7101869583129883
en,BaselinePreprocessor,xlm-roberta-base,static,57.0,1.78125,
en,BaselinePreprocessor,google/mt5-base,static,61.0,1.90625,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7259535789489746
en,RegexPreprocessor,xlm-roberta-base,static,60.0,1.7142857142857142,
en,RegexPreprocessor,google/mt5-base,static,68.0,1.9428571428571428,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7290244102478027
en,Baseline_Lower,xlm-roberta-base,static,57.0,1.78125,
en,Baseline_Lower,google/mt5-base,static,65.0,2.03125,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7126846313476562
en,BaselinePreprocessor,xlm-roberta-base,static,71.0,1.775,
en,BaselinePreprocessor,google/mt5-base,static,74.0,1.85,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7430956363677979
en,RegexPreprocessor,xlm-roberta-base,static,86.0,1.9111111111111112,
en,RegexPreprocessor,google/mt5-base,static,86.0,1.9111111111111112,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.8061840534210205
en,Baseline_Lower,xlm-roberta-base,static,83.0,2.075,
en,Baseline_Lower,google/mt5-base,static,81.0,2.025,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.716325044631958
